target_index,M0_seed2026,M0_seed7,M0_seed13,M0T_seed2026,M0T_seed7,M0T_seed13,M1D_seed2026,M1D_seed7,M1D_seed13,M1R_seed2026,M1R_seed7,M1R_seed13,M1_seed2026,M1_seed7,M1_seed13,M2_seed2026,M2_seed7,M2_seed13
13,0.2407791525607452,0.21906433074784498,0.20761908264094164,0.3139221689866973,0.3019565975331438,0.3043667453064001,0.24642571682471973,0.19836812005644705,0.21219543811132627,0.3019711904918673,0.2778681932406624,0.2530735199275844,0.2201995303813227,0.16864105901431772,0.2218817686563399,0.1734101154640177,0.19932094132052647,0.1599231049890274
14,0.5414545498452727,0.524897027225336,0.5332348543702401,0.5665282688898219,0.5701803237643651,0.5714087207100778,0.5347907050571983,0.5079629142327841,0.5492180737502711,0.5407400928608792,0.5367236195793877,0.549192240798667,0.5467039818681213,0.5584369892233594,0.5497164075334939,0.5448538714195645,0.5447594986633285,0.5223406948444915
15,0.15949695792690138,0.1645493920222511,0.16343851935807574,0.19517506269566987,0.19298485254275152,0.20300887118445388,0.1606408994435889,0.16434867955422136,0.19238196862695384,0.20093002555582443,0.18103623531826893,0.18590477036389094,0.1859400422595209,0.21422195479841186,0.21673021083773533,0.1871701859849676,0.1849214779935026,0.1848825325670115
16,0.7452068131999591,0.7324885750938955,0.7610389111294136,0.8415693715954271,0.8231057872928997,0.8356018623260348,0.7992332522176785,0.8029154690181605,0.8249813447613119,0.8392097777393778,0.8091191291705252,0.8283925381998933,0.8031893746935844,0.8313432847455615,0.8148629395742568,0.8362125778482431,0.8325961819732258,0.8165107762752158
17,0.8166057823961637,0.7562551021756159,0.67595109980756,0.6470410210949404,0.6493109989838612,0.6539642710011091,0.6345981826799733,0.5611490454613789,0.738008451161206,0.5729829800734652,0.5494532667529636,0.5981845558631077,0.7192923543311759,0.6902135742366793,0.6264804094123873,0.7405474676810673,0.7274481181424021,0.7247162938739582
18,0.1393930165597043,0.14244722594342027,0.1254742922665576,0.12449182803190639,0.11813190044892583,0.12258733166357128,0.21323956080051393,0.17213278519998837,0.17864229401547657,0.23504258198130604,0.20227635891230777,0.21084784866850756,0.21855725515959615,0.2390243745376836,0.2233451225054821,0.25687432219504247,0.2173119815074648,0.22151423716758725
19,0.16109846575502154,0.16602933772761927,0.158492070785437,0.317213544064419,0.3307064020985791,0.32492062866866417,0.17678619567243795,0.14715003379140784,0.1589047165669491,0.18429607067597734,0.20220787734197715,0.16545269508931004,0.31898496383130703,0.23924006735888304,0.24505979298692085,0.33233328254266287,0.28287274103359294,0.27499353375247254
20,0.2673920485088566,0.28038906837640715,0.2664719698971345,0.31817247528482995,0.35868969673642015,0.3304577272005056,0.20123374967803462,0.16794013951631512,0.17413416020821054,0.16882711804871647,0.13028783126374247,0.17185305034513873,0.2157808005234972,0.21113905467230007,0.18206831444980276,0.18987020314403483,0.25728928900654185,0.24483648123150517
21,0.3066842508824397,0.2990957547878155,0.30335945051064006,0.36771446638173066,0.37352737371512723,0.36775285910198857,0.3196402507007504,0.3048524807777443,0.3210453075172119,0.31584767285896564,0.33658899820037363,0.3025548314868712,0.30881432865244546,0.28888661569489527,0.33208488072233744,0.28375683389510736,0.29697129546308726,0.3172731301714099
22,0.10025558830203671,0.09928393730878404,0.08954716733132659,0.1438605314110392,0.16068546755238713,0.14562509103799504,0.09615961477877652,0.10070405951870329,0.10431178628006996,0.13018067405538933,0.1294429793216971,0.1271136651539449,0.11744496195286695,0.11563099495832654,0.12590997190111086,0.15280794869423756,0.12983275798133637,0.16385804597800038
